set,name,be_new_value,bl_sold_new_avg,lots_new,be_used_value,bl_sold_used_avg,lots_used,be_over_bl_new,be_over_bl_used,bucket
71049-4,McLaren,9.68,,0,,,0,,,no-sales
71052-10,Cute Witch,4.99,,,,,,,,error/not-found
71038-5,Tiana,,,,3.70,,,,,error/not-found
71039-11,Storm,,,,4.68,,,,,error/not-found
60460-1,No Limits: Race Car Ramp Track,49.99,40.57,10,,,0,1.232,,healthy
76231-1,Guardians of the Galaxy Advent Calendar,,27.39,18,18.53,,0,,,healthy
5009806-1,Retro Space Explorer,49.35,29.76,118,,23.55,1,1.658,,healthy
40820-1,Up-Scaled Santa Minifigure,54.99,65.89,21,,,0,0.835,,healthy
40352-1,Scarecrow,,17.65,4,16.08,9.86,4,,1.631,sparse
75436-1,The Mandalorian & Grogu’s Speeder Bike,9.99,9.29,31,,,0,1.075,,healthy
71051-7,Dalmatian Costume Guy,,,,4.48,,,,,error/not-found
71052-7,Chocolatier,4.99,,,,,,,,error/not-found
40806-1,Gingerbread AT-AT Walker,59.99,94.40,167,,43.15,3,0.635,,healthy
71049-8,VCARB,4.84,,,,,,,,error/not-found
71761-1,Zane's Power Up Mech EVO,,12.77,27,7.25,7.30,5,,0.993,healthy
75387-1,Boarding the Tantive IV,60.00,45.74,173,49.80,36.01,11,1.312,1.383,healthy
71049-9,Sauber,5.33,,,,,,,,error/not-found
40701-1,Ballerina & Nutcracker Scene,25.00,22.51,110,,14.44,1,1.110,,healthy
41717-1,Mia's Wildlife Rescue,,28.22,8,25.00,,0,,,sparse
40203-1,Vampire and Bat,,14.55,12,10.00,9.02,3,,1.109,healthy
952411-1,Astronaut with Space Satellite,4.67,4.32,22,,,0,1.080,,healthy
40795-1,Luke Skywalker (Rebel Pilot),,10.00,18,15.53,8.15,2,,1.905,healthy
40764-1,Easter Bunny Surprise,14.99,8.86,161,,,0,1.692,,healthy
42640-1,Guinea Pig Playground,15.35,8.75,7,,,0,1.753,,sparse
30645-1,Snowman,9.89,4.38,52,,2.89,3,2.258,,healthy
5009378-1,LEGO Best Buy Arcade Race,30.00,23.86,27,,,0,1.257,,healthy
30708-1,Millennium Falcon,4.99,3.87,417,,2.81,8,1.288,,healthy
40640-1,LEGO Nutcracker,,10.83,25,12.45,4.95,1,,2.515,healthy
10343-1,Mini Orchid,29.99,20.67,28,,14.03,3,1.451,,healthy
40776-1,Hot Chocolate Stand,24.89,18.20,616,,17.71,4,1.367,,healthy
75405-1,Home One Starcruiser,69.99,47.52,22,,32.65,3,1.473,,healthy
75400-1,Plo Koon's Jedi Starfighter Microfighter,14.99,12.01,45,,8.62,7,1.248,,healthy
71052-5,Boba Cup Fan,4.99,,,,,,,,error/not-found
71039-7,Kate Bishop,,,,4.17,,,,,error/not-found
30002-1,Police Boat,,5.00,1,3.78,3.19,2,,1.183,sparse
40558-1,Clone Trooper Command Station,,26.42,147,20.00,21.27,8,,0.940,healthy
5007490-1,Space Adventure Ride,25.00,26.20,23,,,0,0.954,,healthy
60450-1,Yellow Construction Wheel Loader,17.00,13.39,12,,8.36,3,1.269,,healthy
75283-1,Armored Assault Tank (AAT),55.18,52.38,128,38.00,42.45,33,1.054,0.895,healthy
10370-1,Poinsettia,49.99,32.98,10,41.49,,0,1.516,,healthy
L0002221-1,Construction Worker with Bulldozer,3.09,2.89,7,,,0,1.068,,sparse
71048-12,Steampunk Inventor,7.99,,,6.63,,,,,error/not-found
21341-1,Hocus Pocus: The Sanderson Sister Cottage,280.20,250.46,47,,180.65,13,1.119,,healthy
75418-1,Advent Calendar,41.68,29.83,33,,,0,1.397,,healthy
21363-1,The Goonies,329.99,266.74,7,,242.37,3,1.237,,sparse
40746-1,Santa's Delivery Truck,19.99,17.84,30,,14.55,1,1.120,,healthy
60466-1,Yellow Bulldozer,64.99,53.16,12,,42.94,5,1.223,,healthy
5008897-1,Tic Tac Toe,,37.92,53,32.58,27.00,1,,1.207,healthy
71039-4,Werewolf by Night,,,,3.04,,,,,error/not-found
75325-1,The Mandalorian's N-1 Starfighter,59.99,38.10,62,,28.70,33,1.575,,healthy
71049-3,Ferrari,5.77,100.61,26,,,0,0.057,,healthy
40770-1,Hogwarts Castle: Room of Requirement,45.00,33.37,195,,,0,1.349,,healthy
71037-2,Robot Warrior,,60.03,61,3.10,57.67,6,,0.054,healthy
71762-1,Kai's Fire Dragon EVO,,29.22,10,33.16,17.49,5,,1.896,healthy
L0002288-1,Mateo,7.00,6.69,12,,,0,1.046,,healthy
910051-1,Mushroom Village,308.42,290.42,36,,,0,1.062,,healthy
30679-1,Venom Street Bike,,4.01,152,7.28,3.18,4,,2.291,healthy
40743-1,Christmas Table Decoration,,24.37,7,33.19,19.00,1,,1.747,sparse
31143-1,Birdhouse,,31.75,29,29.01,22.13,9,,1.311,healthy
71051-12,Parrot Costume Girl,,,,4.44,,,,,error/not-found
5007489-1,Fantasy Adventure Ride,18.90,21.37,21,,15.00,1,0.884,,healthy
60197-1,Passenger Train,,160.42,39,111.28,108.47,17,,1.026,healthy
75300-1,Imperial TIE Fighter,58.56,51.87,118,,32.35,45,1.129,,healthy
40767-1,Up-Scaled Baby Astronaut,44.98,32.33,279,,26.51,8,1.391,,healthy
75359-1,332nd Ahsoka's Clone Trooper Battle Pack,23.30,18.97,162,9.09,14.12,19,1.228,0.644,healthy
910047-1,Medieval Seaside Market,388.59,331.05,111,,277.50,2,1.174,,healthy
75448-1,Clone Shock Trooper Mech,14.99,12.30,12,,,0,1.219,,healthy
75322-1,Hoth AT-ST,64.59,58.40,98,,39.80,22,1.106,,healthy
71052-12,Unicorn Elf,4.99,,,,,,,,error/not-found
71037-12,Newspaper Kid,,,,3.30,,,,,error/not-found
910039-1,The Art of Chocolate,300.00,271.23,62,,229.25,2,1.106,,healthy
76304-1,Batman Forever Batmobile,99.99,,0,,,0,,,no-sales
40825-1,Halloween Wreath,,46.84,1,33.19,,0,,,sparse
L0002232-1,Night Trooper,5.36,5.98,65,,,0,0.897,,healthy
71052-6,Trash Monster,4.99,,,,,,,,error/not-found
30559-1,Elsa and Bruni's Forest Camp,,6.46,24,2.75,3.46,2,,0.795,healthy
40761-1,The Lord of the Rings: Smeagol & Deagol,86.94,74.65,176,,66.30,3,1.165,,healthy
76178-1,Daily Bugle,410.04,372.53,139,,310.78,24,1.101,,healthy
40811-1,Altar of the Dead,,22.52,5,12.44,,0,,,sparse
71049-1,Red Bull RB20,8.69,3.69,11,,,0,2.354,,healthy
71049-5,Aston Martin,10.48,,,,,,,,error/not-found
75295-1,Millennium Falcon Microfighter,12.82,12.29,80,6.99,7.78,19,1.043,0.898,healthy
76261-1,Spider-Man Final Battle,163.60,107.51,74,,80.73,9,1.522,,healthy
21318-1,Treehouse,227.04,187.05,95,,149.49,32,1.214,,healthy
71039-3,Mr. Knight,,,,4.00,,,,,error/not-found
75319-1,The Armorer's Mandalorian Forge,,48.46,114,35.35,35.97,20,,0.983,healthy
552405-1,Cooper with Double Shooter,2.93,2.90,35,,,0,1.009,,healthy
40786-1,Micro Command Center,,33.32,87,,16.00,1,,,healthy
71051-11,Lion Costume Girl,,,,10.72,,,,,error/not-found
75299-1,Trouble on Tatooine,28.98,20.70,83,15.00,15.22,25,1.400,0.986,healthy
76253-1,Guardians of the Galaxy Headquarters,13.33,10.90,39,,6.83,2,1.223,,healthy
71048-6,Pterodactyl Costume Fan,,,,5.46,,,,,error/not-found
75401-1,Ahsoka's Jedi Interceptor,,33.28,45,37.34,26.59,10,,1.404,healthy
71780-1,Kai's Ninja Race Car EVO,,9.20,13,8.29,6.56,7,,1.264,healthy
43214-1,Twirling Rapunzel,,10.33,24,13.50,5.38,1,,2.511,healthy
30654-1,X-wing Starfighter,9.99,6.00,305,3.00,3.53,11,1.666,0.850,healthy
952302-1,Police Buggy,2.80,2.85,11,,,0,0.983,,healthy
30727-1,TIE Advanced,8.16,4.29,92,,2.85,2,1.903,,healthy
30635-1,Beach Cleanup,,3.53,35,2.55,2.50,1,,1.020,healthy
30706-1,Quidditch Training,4.99,3.92,169,,4.69,2,1.273,,healthy
30352-1,Police Car,,4.68,7,2.95,2.48,5,,1.189,sparse
76389-1,Hogwarts Chamber of Secrets,153.60,132.70,73,,94.62,22,1.158,,healthy
30420-1,Harry Potter and Hedwig,,5.32,104,3.50,3.89,3,,0.900,healthy
71037-10,Rococo Aristocrat,,,,3.33,,,,,error/not-found
30723-1,Ninja Cole's Car,11.40,4.35,97,,3.46,4,2.622,,healthy
76189-1,Captain America and Hydra Face-Off,,9.89,29,8.00,5.00,1,,1.600,healthy
30668-1,Easter Bunny with Colorful Eggs,,3.79,109,8.30,2.50,1,,3.320,healthy
